price,brand,ram,ram_type,display_size,display_type,pixels,screen_rate,screen_panel,length,width,height,cpu_brand,gpu_brand,hdd,ssd,OS,weight,cpu_point,gpu_point,fingerprint_reader,web_camera
2469.0,HP,16.0,DDR4,15.6,FHD,2073600.0,144.0,IPS,357.9,239.7,22.6,AMD,NVIDIA,0.0,512.0,WINDOWS,2.37,13081.0,8886.0,1.0,0.0
1149.0,DELL,32.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,363.9,249.0,19.9,INTEL,INTEL,0.0,2000.0,WINDOWS,1.96,3240.0,425.0,0.0,1.0
949.99,ASUS,32.0,DDR4,15.6,FHD,2073600.0,144.0,IPS,360.0,275.0,25.8,INTEL,NVIDIA,0.0,1000.0,WINDOWS,2.39,7213.0,6618.0,1.0,0.0
899.0,DELL,16.0,DDR4,15.6,FHD,2073600.0,120.0,IPS,358.5,235.6,15.52,AMD,AMD,0.0,512.0,WINDOWS,1.84,10523.0,1129.0,0.0,1.0
1759.0,DELL,16.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,357.8,233.3,20.77,INTEL,INTEL,0.0,512.0,WINDOWS,1.59,7916.0,1097.0,1.0,0.0
789.99,LENOVO,8.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,365.0,240.0,18.9,AMD,AMD,0.0,256.0,WINDOWS,1.7,8919.0,1129.0,1.0,0.0
1249.0,ACER,32.0,DDR4,15.6,FHD,2073600.0,144.0,IPS,363.4,255.0,23.9,AMD,NVIDIA,0.0,2000.0,WINDOWS,2.3,9513.0,7722.0,1.0,0.0
839.99,HP,24.0,DDR4,15.6,FHD,2073600.0,60.0,TN,358.5,242.0,17.9,AMD,AMD,0.0,1000.0,WINDOWS,1.74,1839.0,451.0,0.0,1.0
919.99,HP,24.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,357.8,230.1,18.7,INTEL,INTEL,0.0,1000.0,WINDOWS,1.8,5002.0,1097.0,1.0,0.0
1609.99,ASUS,16.0,DDR5,14.0,WQXGA,4096000.0,120.0,IPS,312.0,227.0,18.5,AMD,AMD,0.0,2000.0,WINDOWS,1.65,14300.0,8264.0,1.0,0.0
1019.99,HP,32.0,DDR4,17.3,FHD,2073600.0,60.0,IPS,400.7,257.8,19.9,AMD,AMD,0.0,1000.0,WINDOWS,2.38,7135.0,914.0,1.0,0.0
1408.0,HP,16.0,DDR4,17.3,FHD,2073600.0,60.0,IPS,399.0,259.0,19.8,INTEL,NVIDIA,0.0,1000.0,WINDOWS,2.54,7885.0,2373.0,1.0,0.0
1679.0,ASUS,36.0,DDR4,17.3,HD+,1440000.0,60.0,TN,406.9,256.0,19.9,INTEL,INTEL,0.0,2000.0,WINDOWS,2.3,3240.0,425.0,0.0,1.0
950.0,LENOVO,8.0,DDR4,13.3,WUXGA,2304000.0,60.0,IPS,305.0,218.0,17.3,INTEL,INTEL,0.0,256.0,WINDOWS,1.26,8093.0,1097.0,1.0,0.0
1199.0,HP,32.0,DDR4,15.6,FHD,2073600.0,144.0,IPS,357.88,255.01,23.5,INTEL,NVIDIA,0.0,1000.0,WINDOWS,2.29,13001.0,4713.0,1.0,0.0
1049.99,HP,16.0,DDR4,17.3,FHD,2073600.0,60.0,IPS,398.27,259.08,19.55,INTEL,INTEL,0.0,512.0,WINDOWS,2.49,7885.0,1435.0,0.0,1.0
779.0,HP,16.0,DDR4,15.6,FHD,2073600.0,144.0,IPS,357.88,255.01,23.5,INTEL,NVIDIA,0.0,512.0,WINDOWS,2.29,9525.0,3422.0,1.0,0.0
1049.0,HP,16.0,DDR4,14.0,FHD,2073600.0,60.0,IPS,323.3,214.6,17.9,INTEL,INTEL,0.0,1000.0,WINDOWS,1.32,5125.0,1435.0,1.0,0.0
399.99,HP,4.0,DDR4,11.6,HD,1049088.0,60.0,IPS,382.4,252.5,24.5,INTEL,INTEL,0.0,128.0,WINDOWS,1.21,1456.0,148.0,0.0,1.0
1829.0,LENOVO,16.0,DDR4,14.0,FHD+,2304000.0,60.0,IPS,317.7,227.36,17.9,INTEL,INTEL,0.0,512.0,WINDOWS,1.21,7916.0,1097.0,1.0,0.0
2699.99,MSI,32.0,DDR5,17.0,QHD+,4096000.0,240.0,IPS,380.0,298.0,23.0,INTEL,NVIDIA,0.0,2000.0,WINDOWS,3.1,32485.0,11933.0,1.0,0.0
1629.0,ASUS,36.0,DDR4,17.3,HD+,1440000.0,60.0,TN,406.9,256.0,19.9,INTEL,INTEL,0.0,1000.0,WINDOWS,2.3,3240.0,425.0,1.0,0.0
1199.0,ASUS,20.0,DDR4,17.3,HD+,1440000.0,60.0,TN,406.9,256.0,19.9,INTEL,INTEL,1000.0,2000.0,WINDOWS,2.3,3240.0,425.0,1.0,0.0
939.99,HP,16.0,DDR4,17.3,HD+,1440000.0,60.0,TN,400.7,257.8,19.9,AMD,AMD,0.0,1000.0,WINDOWS,2.38,7135.0,914.0,1.0,0.0
949.99,ACER,12.0,DDR4,17.3,FHD,2073600.0,60.0,IPS,403.5,263.7,19.9,INTEL,INTEL,1000.0,256.0,WINDOWS,2.6,5125.0,1435.0,1.0,0.0
1759.99,DELL,64.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,358.5,235.56,16.96,INTEL,INTEL,1000.0,2000.0,WINDOWS,1.73,7885.0,1435.0,0.0,1.0
1479.99,MSI,32.0,DDR4,15.6,FHD,2073600.0,144.0,IPS,358.0,267.0,23.4,INTEL,NVIDIA,0.0,512.0,WINDOWS,2.38,12390.0,10741.0,1.0,0.0
925.99,DELL,32.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,361.0,240.9,18.0,INTEL,INTEL,0.0,256.0,WINDOWS,1.79,5002.0,1097.0,1.0,0.0
1829.99,DELL,32.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,358.0,232.0,19.9,INTEL,NVIDIA,0.0,1000.0,WINDOWS,1.59,5524.0,1994.0,1.0,0.0
1274.99,HP,16.0,DDR4,17.3,FHD,2073600.0,60.0,IPS,398.27,259.08,19.55,INTEL,INTEL,0.0,1000.0,WINDOWS,2.49,9933.0,1435.0,0.0,1.0
1079.99,DELL,8.0,DDR4,15.6,HD,1049088.0,60.0,TN,361.0,240.9,18.0,INTEL,INTEL,0.0,2000.0,WINDOWS,1.79,5002.0,1097.0,0.0,1.0
299.0,LENOVO,4.0,DDR4,15.6,FHD,2073600.0,60.0,TN,360.2,236.0,17.9,INTEL,INTEL,0.0,128.0,WINDOWS,1.55,1792.0,313.0,1.0,0.0
